base¡¶«∞∏Ì,score,title
ISO 800,0.011256422637983113,
ISO 400,0.009449215165000016,
ISO 1600,0.008633524644752005,
ISO 100,0.008006035200872622,
ISO 200,0.006495468494503157,
D70,0.005936737913682289,Nikon D70 Digital Camera (Body Only)
ISO 3200,0.005046529255051855,
ISO 50,0.004621252125586301,
AF-S,0.004231293467711841,
D40,0.004167065784323836,Nikon D40x 10.2MP Digital SLR Camera with 18-55mm f/3.5-5.6G ED II AF-S DX Zoom-Nikkor Lens (OLD MODEL)
