ngram,all,up,down,polarity,hawk/dov
부동산/NNG;투기/NNG;억제/NNG,65,31.0,23.0,1.533080195027042,hawkish
pmi/NNG;내리/VV,65,14.0,32.0,0.4976328858857939,dovish
링크드/NNG,65,20.0,32.0,0.7109041226939913,dovish
fed/NNG;이르/VV;금리/NNG;인상/NNG,65,11.0,43.0,0.29097471068405223,dovish
벌인다/VV,65,21.0,36.0,0.6635105145143918,dovish
기업/NNG;실적/NNG;모멘텀/NNG,65,42.0,16.0,2.985797315314763,hawkish
뛴다/VV,65,19.0,32.0,0.6753589165592917,dovish
퍼티/NNG,65,27.0,18.0,1.7061698944655792,hawkish
결정투표/NNG,65,29.0,18.0,1.8325528496111776,hawkish
경제계획/NNG,65,34.0,28.0,1.3811851526626115,hawkish
경제/NNG;전망/NNG;밝/VA,65,36.0,20.0,2.0474038733586952,hawkish
유동성/NNG;낮/VA,65,22.0,35.0,0.7149664319665284,dovish
목적지/NNG,65,32.0,25.0,1.4559316432772942,hawkish
주택건설협회/NNG,65,20.0,32.0,0.7109041226939913,dovish
세테크/NNG,65,20.0,35.0,0.649969483605935,dovish
하향/NNG;하락/NNG,65,29.0,22.0,1.4993614224091456,hawkish
비상금/NNG,65,19.0,34.0,0.6356319214675688,dovish
목마른/VA,65,26.0,19.0,1.556505868635265,hawkish
gdp/NNG;하향/NNG,65,20.0,30.0,0.7582977308735908,dovish
따듯/NNG,65,11.0,27.0,0.4634041688671943,dovish
텃밭/NNG,65,32.0,17.0,2.141075945996021,hawkish
과점주주/NNG,65,21.0,38.0,0.6285889084873185,dovish
설비/NNG;가동률/NNG;하락/NNG,65,21.0,34.0,0.7025405447799443,dovish
재건축초과이익환수/NNG,65,32.0,18.0,2.022127282329575,hawkish
통치/NNG,65,17.0,32.0,0.6042685042898925,dovish
사령관/NNG,65,35.0,15.0,2.654042058057567,hawkish
주거래통장/NNG,65,40.0,9.0,5.055318205823938,hawkish
금융사별/NNG,65,16.0,35.0,0.519975586884748,dovish
소행/NNG,65,38.0,13.0,3.324843896907283,hawkish
장기물/NNG;내리/VV,65,34.0,20.0,1.9336592137276565,hawkish
최대/NNG;걸림돌/NNG,65,35.0,23.0,1.73089699438537,hawkish
대기업그룹/NNG,65,28.0,23.0,1.3847175955082962,hawkish
창건일/NNG,65,46.0,15.0,3.488169562018517,hawkish
돌기/NNG,65,14.0,45.0,0.35387227440767566,dovish
영국인/NNG,65,22.0,34.0,0.7359948564361322,dovish
표지어음/NNG,65,36.0,21.0,1.9499084508178048,hawkish
기여율/NNG,65,35.0,17.0,2.3418018159331475,hawkish
경이/NNG,65,14.0,35.0,0.4549786385241545,dovish
완고/NNG,65,31.0,19.0,1.855833920295893,hawkish
티보/NNG,65,18.0,32.0,0.6398137104245921,dovish
가근/NNG,65,40.0,15.0,3.033190923494363,hawkish
계약수/NNG,65,28.0,22.0,1.447659304395037,hawkish
소비/NNG;부양/NNG,65,22.0,34.0,0.7359948564361322,dovish
소비/NNG;지표/NNG;호조/NNG,65,42.0,19.0,2.514355633949274,hawkish
많/VA;fed/NNG;금리/NNG;인상/NNG,65,31.0,24.0,1.4692018535675822,hawkish
만능/NNG,65,23.0,13.0,2.0124055165491446,hawkish
무등/NNG,65,18.0,34.0,0.6021776098113809,dovish
재무구조/NNG;취약/NNG,65,22.0,41.0,0.6103371980202071,dovish
